,Colour,Finish,No.,Horse,Trainer,Jockey,Margin,Bar.,Weight,Penalty,Starting Price
0,,1,1,LOVE TAP,Richard & Will Freedman,Blake Shinn,,6,60.5kg,,$12
1,,2,9,KOOLED,Ben Brisbourne,Ms Alana Kelly (a),1.25L,12,54kg,,$10
2,,3,5,STRUCK BY,Travis Doudle,Jason Benbow,1.35L,2,58kg,,$5.50
3,,4,7,CORMORANT (IRE),Maddie Raymond,Damian Lane,1.85L,8,55kg,,$41
4,,5,11,STANDOFF,Grant & Peter Dalziel,Dean Holland,2.35L,11,54kg,,$31
5,,6,4,ASCENSION (GB),Ciaron Maher & David Eustace,John Allen,2.85L,5,58kg,,$4.80F
6,,7,14,SMOKINâ€™ TOFF,David & Coral Feek,Robbie Downey,2.95L,14,54kg,,$51
7,,8,2,NOT TO BE MIST,Nick Ryan,Mark Zahra,3.05L,1,59.5kg,,$21
8,,9,10,THE CUNNING FOX (NZ),Patrick Payne,Craig Williams,3.8L,4,54kg,,$7
9,,10,3,CRIMINAL CODE,Chris Waller,James McDonald,4.55L,15,59kg,,$5
10,,11,12,ADDRESS MELBOURNE,Bruce Anderson,Ms Carleen Hefel (a),4.75L,7,54kg,,$31
11,,12,13,SEB SONG,Jason Warren,Daniel Stackhouse,5.75L,3,54kg,,$81
12,,13,6,TOBILICIOUS (NZ),Annabel Neasham,Tommy Berry,6.25L,10,58kg,,$51
13,,14,15,NAVAL ENVOY,Danielle Loos,Craig Newitt,11.75L,13,54kg,,$31
14,,15,8,EXCELMAN (NZ),Richard Laming,Blaike McDougall,13.25L,9,55kg,,$16
